Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2019-08-01,"1,862","5,794",2.48,4,"1,440",0,0,0,0
2019-08-02,"1,608","3,511",1.51,1,"1,440",0,0,0,0
2019-08-03,"1,843","3,018",1.29,3,"1,433",7,0,0,20
2019-08-04,"1,530","2,038",0.87,0,"1,362",78,0,0,227
2019-08-05,"1,620","2,670",1.14,5,"1,329",111,0,0,338
2019-08-06,"1,558","2,309",0.99,1,"1,352",88,0,0,255
2019-08-07,"1,575","2,513",1.08,1,"1,340",100,0,0,283
2019-08-08,"1,653","2,933",1.26,7,"1,335",105,0,0,337
2019-08-09,"2,023","6,922",2.97,15,"1,144",196,20,18,817
2019-08-10,"1,842","6,002",2.57,5,"1,258",124,7,28,586
2019-08-11,"1,604","3,395",1.46,11,"1,307",61,17,2,295
2019-08-12,"1,478","1,190",0.51,1,"1,395",45,0,0,133
2019-08-13,"1,805","4,858",2.08,6,"1,252",188,0,0,584
2019-08-14,"1,798","5,644",2.42,6,"1,273",167,0,0,548
2019-08-15,"1,841","5,607",2.4,6,"1,238",202,0,0,621
2019-08-16,"2,489","17,321",7.43,8,"1,021",389,29,1,"1,463"
2019-08-17,"1,960","10,002",4.31,0,"1,239",181,18,2,766
2019-08-18,"2,610","21,746",9.35,4,"1,013",395,29,3,"1,591"
2019-08-19,"2,626","22,901",9.82,5,"1,005",400,31,4,"1,627"
2019-08-20,"1,900","7,462",3.2,6,"1,214",226,0,0,718
2019-08-21,"2,561","10,684",4.58,9,"1,014",411,12,3,"1,476"
2019-08-22,"1,870","7,127",3.06,8,"1,138",146,32,10,640
2019-08-23,"1,743","5,785",2.48,11,"1,064",84,29,14,482
2019-08-24,"1,494","2,425",1.23,3,"1,408",16,3,13,166
2019-08-25,"2,267","13,933",6.05,15,"1,169",169,44,58,"1,128"
2019-08-26,"1,881","7,975",3.42,5,"1,265",140,10,25,666
2019-08-27,"1,356",4,0,0,"1,440",0,0,0,0
2019-08-28,"2,010","10,194",4.37,17,"1,225",148,44,23,821
2019-08-29,"1,860","7,308",3.18,10,775,150,0,11,625
2019-08-30,"2,369","13,500",5.79,25,"1,067",328,28,17,"1,306"
2019-08-31,"1,488","2,051",0.88,5,"1,393",31,15,1,166
