Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2019-12-01,"1,596","2,520",1.08,0,"1,440",0,0,0,0
2019-12-02,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-03,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-04,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-05,"1,744","6,273",2.74,0,"1,301",107,11,21,507
2019-12-06,"1,352",13,0.01,0,"1,439",1,0,0,3
2019-12-07,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-08,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-09,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-10,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-11,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-12,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-13,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-14,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-15,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-16,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-17,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-18,"1,396",683,0.29,3,"1,440",0,0,0,0
2019-12-19,"1,624","4,978",2.13,0,"1,440",0,0,0,0
2019-12-20,"1,775","6,040",2.59,0,"1,440",0,0,0,0
2019-12-21,"1,659","2,159",0.93,0,"1,440",0,0,0,0
2019-12-22,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-23,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-24,"1,373",0,0,0,"1,440",0,0,0,0
2019-12-25,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-26,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-27,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-28,"1,350",0,0,0,"1,440",0,0,0,0
2019-12-29,"1,642","3,289",1.41,10,"1,358",59,11,12,354
2019-12-30,"1,505",294,0.13,0,"1,384",42,14,0,202
2019-12-31,"1,750","3,651",1.57,1,"1,069",94,11,16,498
