Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2019-02-01,"2,202","12,888",5.84,15,"1,220",153,32,35,984
2019-02-02,"2,064","9,040",3.88,15,"1,222",207,2,9,820
2019-02-03,"2,121","9,802",4.55,7,"1,233",164,16,27,886
2019-02-04,"2,010","11,079",5.12,16,"1,278",102,23,37,745
2019-02-05,"2,220","13,692",5.87,16,"1,208",127,68,37,"1,012"
2019-02-06,"2,052","10,071",4.32,23,"1,227",169,18,26,831
2019-02-07,"2,019","9,338",4.29,26,649,169,10,16,757
2019-02-08,"1,900","7,015",3.12,19,816,148,5,7,620
2019-02-09,"1,395",0,0,0,"1,440",0,0,0,0
2019-02-10,"1,394",0,0,0,"1,440",0,0,0,0
2019-02-11,"2,171","11,563",5.06,11,"1,195",193,24,28,954
2019-02-12,"1,988","8,138",3.51,7,"1,237",190,5,8,764
2019-02-13,"2,089","10,725",4.75,18,593,152,18,42,853
2019-02-14,"1,394",0,0,0,"1,440",0,0,0,0
2019-02-15,"2,558","17,488",8,25,"1,015",245,36,53,"1,441"
2019-02-16,"1,771","3,830",1.67,6,"1,310",118,7,5,467
2019-02-17,"2,073","9,175",4.07,16,"1,198",211,17,14,868
2019-02-18,"2,291","15,082",6.88,28,"1,185",184,21,50,"1,103"
2019-02-19,"2,154","10,804",4.66,23,666,200,30,17,946
2019-02-20,"1,947","8,297",3.56,18,"1,274",124,18,24,671
2019-02-21,"2,164","10,613",4.68,17,"1,197",201,11,31,949
2019-02-22,"2,031","10,108",4.56,17,"1,197",135,13,35,774
2019-02-23,"1,393",0,0,0,"1,440",0,0,0,0
2019-02-24,"1,758","4,768",2.04,3,"1,321",119,0,0,439
2019-02-25,"2,195","13,770",6.03,21,709,185,22,30,985
2019-02-26,"2,217","12,914",5.54,17,"1,201",179,23,37,"1,010"
2019-02-27,"2,124","11,981",5.16,20,750,170,37,30,917
2019-02-28,"2,118","9,747",4.26,14,"1,073",213,29,24,942
