Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2019-03-01,"2,459","18,132",8.47,24,688,181,41,72,"1,313"
2019-03-02,"2,009","8,453",4.22,8,626,157,9,28,777
2019-03-03,"1,981","7,499",3.43,12,806,197,6,4,753
2019-03-04,"2,116","11,543",5.51,27,676,136,19,54,883
2019-03-05,"2,175","11,082",5.02,15,"1,157",244,7,32,"1,019"
2019-03-06,"1,834","7,184",3.08,14,756,117,13,20,569
2019-03-07,"2,173","11,551",4.98,19,479,235,22,30,"1,021"
2019-03-08,"1,755","5,239",2.24,15,704,100,12,13,472
2019-03-09,"1,506","1,964",0.84,3,"1,401",30,4,5,159
2019-03-10,"1,654","3,470",1.58,2,"1,343",97,0,0,351
2019-03-11,"1,962","10,567",4.72,21,"1,280",92,26,42,697
2019-03-12,"2,045","10,570",4.51,19,"1,209",210,12,9,846
2019-03-13,"2,128","11,853",5.08,23,"1,216",167,23,34,919
2019-03-14,"2,168","13,580",6.25,23,"1,232",130,31,47,959
2019-03-15,"1,474","1,167",0.5,1,"1,404",36,0,0,115
2019-03-16,"1,376",11,0,0,"1,439",1,0,0,2
2019-03-17,"1,374",0,0,0,"1,440",0,0,0,0
2019-03-18,"1,374",0,0,0,"1,440",0,0,0,0
2019-03-19,"1,374",0,0,0,"1,440",0,0,0,0
2019-03-20,"1,374",0,0,0,"1,440",0,0,0,0
2019-03-21,"1,374",0,0,0,"1,440",0,0,0,0
2019-03-22,"1,374",0,0,0,"1,440",0,0,0,0
2019-03-23,"1,397",28,0.01,1,"1,432",8,0,0,30
2019-03-24,"1,595",343,0.15,2,"1,223",72,0,0,264
2019-03-25,"1,508","1,491",0.64,1,"1,383",57,0,0,172
2019-03-26,"2,030","9,284",3.98,16,785,176,19,13,779
2019-03-27,"2,115","10,082",4.32,14,744,264,13,10,962
2019-03-28,"2,378","14,273",6.17,29,721,275,18,35,"1,251"
2019-03-29,"2,562","11,966",5.15,22,564,399,9,12,"1,502"
2019-03-30,"2,206","10,388",4.45,19,692,266,9,14,"1,013"
2019-03-31,"2,015","8,337",3.68,8,812,186,13,16,785
