Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2019-05-01,"1,997","9,831",4.22,22,874,154,19,30,773
2019-05-02,"2,124","9,860",4.43,15,746,247,7,16,957
2019-05-03,"1,862","5,989",2.59,12,805,159,6,4,601
2019-05-04,"1,890","6,075",2.62,10,743,188,0,0,650
2019-05-05,"1,926","5,259",2.25,9,917,202,6,4,702
2019-05-06,"1,950","7,336",3.15,16,640,190,13,9,721
2019-05-07,"2,100","10,048",4.33,20,705,201,15,19,884
2019-05-08,"2,066","11,208",4.83,23,746,178,18,23,839
2019-05-09,"1,879","4,880",2.09,10,701,180,0,0,592
2019-05-10,"1,662","3,611",1.55,6,"1,100",78,10,9,340
2019-05-11,"1,718","4,698",2.04,7,"1,313",127,0,0,429
2019-05-12,"1,769","4,776",2.05,6,568,147,2,8,506
2019-05-13,"1,748","4,141",1.8,3,869,145,0,0,464
2019-05-14,"1,956","6,550",2.81,16,711,223,0,0,731
2019-05-15,"1,901","7,178",3.1,8,771,185,0,0,644
2019-05-16,"1,782","4,460",1.96,4,502,144,8,3,501
2019-05-17,"2,253","10,784",4.79,18,838,217,15,34,"1,026"
2019-05-18,"2,259","13,262",5.71,43,713,220,50,20,"1,106"
2019-05-19,"1,715","2,909",1.25,9,626,148,0,0,419
2019-05-20,"1,893","5,619",2.41,12,550,232,0,0,694
2019-05-21,"1,831","6,682",3.09,4,665,147,8,13,590
2019-05-22,"1,840","4,992",2.14,7,615,204,0,0,620
2019-05-23,"1,745","4,576",2.19,7,"1,293",133,4,10,478
2019-05-24,"1,897","7,490",3.21,6,"1,264",147,14,15,655
2019-05-25,"1,891","5,574",2.7,8,"1,235",189,2,14,652
2019-05-26,"1,506","1,156",0.5,3,"1,376",64,0,0,182
2019-05-27,"1,986","7,295",3.43,2,"1,024",193,7,15,788
2019-05-28,"1,934","7,053",3.02,7,"1,204",236,0,0,743
2019-05-29,"1,695","2,978",1.28,4,708,150,0,0,417
2019-05-30,"1,752","4,662",2,10,"1,271",169,0,0,511
2019-05-31,"1,921","6,766",2.9,8,"1,216",224,0,0,718
