Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2019-10-01,"2,142","11,738",5.06,21,"1,169",230,23,18,994
2019-10-02,"2,157","12,968",5.56,18,"1,156",215,34,35,"1,016"
2019-10-03,"1,915","7,925",3.4,8,"1,164",154,23,25,695
2019-10-04,"1,852","8,393",3.6,9,"1,286",111,28,15,609
2019-10-05,"1,633","3,379",1.49,4,"1,332",108,0,0,345
2019-10-06,"1,698","5,427",2.33,6,"1,319",95,17,9,433
2019-10-07,"2,330","16,953",7.53,29,"1,150",209,38,43,"1,203"
2019-10-08,"2,225","12,213",5.36,16,"1,133",270,20,17,"1,104"
2019-10-09,"1,895","9,481",4.06,9,"1,189",98,32,25,644
2019-10-10,"1,552","3,304",1.42,9,"1,380",35,11,14,235
2019-10-11,"1,940","9,124",4.17,20,"1,235",166,11,28,739
2019-10-12,"1,355",0,0,0,"1,440",0,0,0,0
2019-10-13,"1,644","4,578",1.96,4,"1,334",91,10,5,371
2019-10-14,"1,686","5,715",2.45,9,"1,336",73,15,16,407
2019-10-15,"1,792","6,647",2.85,12,"1,282",134,13,11,566
2019-10-16,"1,856","7,543",3.23,8,"1,252",162,18,8,641
2019-10-17,"1,867","7,895",3.58,8,"1,267",147,13,13,642
2019-10-18,"1,730","7,094",3.06,9,"1,120",76,15,18,455
2019-10-19,"1,498","2,846",1.39,3,"1,409",15,3,13,169
2019-10-20,"1,355",0,0,0,"1,440",0,0,0,0
2019-10-21,"1,959","8,456",3.65,14,"1,231",176,11,22,754
2019-10-22,"2,088","11,049",4.92,20,"1,209",205,6,20,816
2019-10-23,"1,803","7,995",3.43,18,"1,440",0,0,0,0
2019-10-24,"1,980","10,539",4.77,10,"1,440",0,0,0,0
2019-10-25,"1,355",0,0,0,"1,440",0,0,0,0
2019-10-26,"1,818","9,056",3.93,10,"1,302",81,35,22,580
2019-10-27,"1,355",0,0,0,"1,440",0,0,0,0
2019-10-28,"1,978","11,017",4.77,14,"1,246",127,43,24,776
2019-10-29,"2,087","11,002",4.82,8,"1,150",266,13,11,965
2019-10-30,"1,723","7,331",3.41,12,"1,343",37,22,38,446
2019-10-31,"1,803","7,368",3.38,12,"1,296",110,16,18,550
