Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2019-04-01,"2,335","15,800",6.9,21,887,205,43,41,"1,170"
2019-04-02,"2,013","10,356",4.44,17,"1,247",163,17,13,759
2019-04-03,"2,119","11,451",4.91,13,729,206,23,18,932
2019-04-04,"2,259","11,707",5.02,18,702,284,28,17,"1,144"
2019-04-05,"1,856","6,697",2.87,11,649,145,13,18,617
2019-04-06,"1,786","5,508",2.4,5,553,136,16,5,531
2019-04-07,"1,869","6,593",2.88,12,667,168,6,3,624
2019-04-08,"2,356","15,575",6.86,29,749,212,42,33,"1,192"
2019-04-09,"1,994","10,343",4.46,19,775,133,29,26,746
2019-04-10,"2,298","14,690",6.57,27,643,205,33,50,"1,165"
2019-04-11,"1,760","5,281",2.26,7,771,151,5,3,509
2019-04-12,"1,907","7,789",3.34,23,"1,174",170,10,2,666
2019-04-13,"1,843","6,041",2.7,21,758,182,2,7,602
2019-04-14,"1,926","7,899",3.41,7,693,163,22,11,690
2019-04-15,"2,204","14,346",6.23,21,659,150,38,55,"1,016"
2019-04-16,"2,056","10,241",4.43,16,771,188,19,21,832
2019-04-17,"2,136","11,595",4.97,27,798,208,22,35,961
2019-04-18,"2,105","10,760",4.66,28,662,252,11,14,948
2019-04-19,"2,100","11,077",4.76,27,740,180,29,20,897
2019-04-20,"1,764","5,246",2.32,7,654,124,10,2,478
2019-04-21,"1,855","6,162",2.72,15,856,142,3,5,556
2019-04-22,"2,267","14,558",6.27,23,738,215,31,41,"1,112"
2019-04-23,"1,903","7,339",3.17,17,"1,257",143,19,21,645
2019-04-24,"1,822","4,792",2.05,13,813,191,0,0,574
2019-04-25,"2,362","15,457",6.65,25,714,286,26,25,"1,241"
2019-04-26,"2,262","13,594",6.24,21,617,229,17,24,"1,105"
2019-04-27,"2,501","17,456",7.5,29,724,257,74,25,"1,419"
2019-04-28,"1,837","7,140",3.13,20,745,165,0,0,582
2019-04-29,"2,104","12,850",5.53,24,717,153,29,35,884
2019-04-30,"1,863","6,093",2.61,16,754,161,13,5,604
