Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2019-07-01,"1,689","4,553",2.15,4,"1,338",86,4,12,387
2019-07-02,"1,642","3,036",1.3,4,"1,138",108,0,0,341
2019-07-03,"1,725","4,623",2.2,4,"1,322",101,4,13,432
2019-07-04,"2,009","8,746",3.75,4,"1,204",236,0,0,821
2019-07-05,"1,724","4,851",2.33,3,"1,315",109,2,14,441
2019-07-06,"1,875","6,515",2.79,2,"1,223",217,0,0,668
2019-07-07,"1,818","5,290",2.27,6,924,201,0,0,602
2019-07-08,"1,599","2,848",1.22,3,"1,356",84,0,0,278
2019-07-09,"1,672","3,799",1.63,4,"1,330",110,0,0,373
2019-07-10,"1,374",0,0,0,"1,440",0,0,0,0
2019-07-11,"1,603","2,306",0.99,1,"1,348",92,0,0,281
2019-07-12,"2,000","8,158",3.5,9,"1,185",231,22,2,827
2019-07-13,"2,035","9,828",4.21,2,703,191,42,5,855
2019-07-14,"1,633","2,745",1.18,3,"1,333",98,9,0,327
2019-07-15,"1,522","1,574",0.67,3,"1,386",54,0,0,168
2019-07-16,"1,595","2,528",1.08,6,"1,355",85,0,0,266
2019-07-17,"1,374",0,0,0,"1,440",0,0,0,0
2019-07-18,"1,374",0,0,0,"1,440",0,0,0,0
2019-07-19,"1,593","1,967",0.84,2,"1,348",92,0,0,260
2019-07-20,"1,374",0,0,0,"1,440",0,0,0,0
2019-07-21,"1,375",0,0,0,"1,440",0,0,0,0
2019-07-22,"1,373",0,0,0,"1,440",0,0,0,0
2019-07-23,"1,743","3,688",1.58,3,"1,294",146,0,0,463
2019-07-24,"1,805","5,691",2.66,4,"1,296",128,3,13,527
2019-07-25,"1,636","2,938",1.26,2,"1,207",122,0,0,353
2019-07-26,"1,361",0,0,0,"1,440",0,0,0,0
2019-07-27,"1,566","3,543",1.79,1,"1,411",5,4,20,175
2019-07-28,"1,502","1,515",0.65,2,"1,440",0,0,0,0
2019-07-29,"1,521","1,765",0.76,5,"1,440",0,0,0,0
2019-07-30,"1,522","1,680",0.72,3,"1,440",0,0,0,0
2019-07-31,"1,562","1,870",0.8,3,"1,440",0,0,0,0
