Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2019-06-01,"1,374",0,0,0,"1,440",0,0,0,0
2019-06-02,"1,596","3,110",1.61,3,"1,263",37,9,15,265
2019-06-03,"1,819","6,616",3.12,5,"1,306",116,5,13,535
2019-06-04,"1,879","6,494",3.37,2,"1,298",106,3,33,612
2019-06-05,"1,605","2,139",0.92,7,"1,190",103,0,0,292
2019-06-06,"1,785","5,991",3.05,4,"1,330",77,6,27,485
2019-06-07,"1,374",0,0,0,"1,440",0,0,0,0
2019-06-08,"1,822","5,494",2.55,8,"1,124",164,2,11,582
2019-06-09,"1,373",0,0,0,"1,440",0,0,0,0
2019-06-10,"1,960","8,803",3.77,7,"1,221",211,6,2,756
2019-06-11,"1,562","1,984",0.85,1,"1,359",81,0,0,240
2019-06-12,"1,626","4,327",2.35,1,"1,382",31,1,26,300
2019-06-13,"1,379",33,0.01,0,"1,437",3,0,0,8
2019-06-14,"1,643","4,085",2.03,3,"1,355",69,2,14,335
2019-06-15,"1,374",0,0,0,"1,440",0,0,0,0
2019-06-16,"1,660","3,580",1.53,3,"1,316",124,0,0,380
2019-06-17,"1,617","2,250",0.96,2,"1,331",109,0,0,303
2019-06-18,"1,688","2,921",1.25,4,"1,292",148,0,0,409
2019-06-19,"1,577","2,442",1.05,2,"1,363",77,0,0,253
2019-06-20,"1,886","5,937",2.89,4,"1,245",177,4,14,646
2019-06-21,"1,706","4,424",2.19,2,"1,324",100,3,13,423
2019-06-22,"1,782","6,044",2.59,7,"1,282",158,0,0,535
2019-06-23,"1,373",0,0,0,"1,440",0,0,0,0
2019-06-24,"1,711","4,692",2.34,2,"1,338",83,4,15,408
2019-06-25,"1,374",0,0,0,"1,440",0,0,0,0
2019-06-26,"1,590","2,614",1.12,4,"1,357",83,0,0,269
2019-06-27,"1,589","2,125",0.91,3,"1,289",85,0,0,254
2019-06-28,"1,374",0,0,0,"1,440",0,0,0,0
2019-06-29,"1,779","5,420",2.32,5,"1,275",165,0,0,537
2019-06-30,"1,374",0,0,0,"1,440",0,0,0,0
