Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2019-11-01,"1,611","4,712",2.18,9,"1,376",33,14,17,312
2019-11-02,"1,355",0,0,0,"1,440",0,0,0,0
2019-11-03,"1,411",0,0,0,"1,440",0,0,0,0
2019-11-04,"2,444","15,976",7.14,23,"1,096",269,33,42,"1,353"
2019-11-05,"2,062","10,002",4.29,15,761,246,11,11,894
2019-11-06,"1,906","10,366",4.47,20,"1,272",107,33,28,680
2019-11-07,"2,063","10,742",4.84,15,"1,185",199,24,32,900
2019-11-08,"1,769","5,592",2.64,10,874,121,6,22,519
2019-11-09,"1,355",0,0,0,"1,440",0,0,0,0
2019-11-10,"1,355",0,0,0,"1,440",0,0,0,0
2019-11-11,"2,008","9,731",4.21,16,"1,410",19,2,9,119
2019-11-12,"1,620",191,0.08,0,"1,440",0,0,0,0
2019-11-13,"1,398",0,0,0,"1,430",10,0,0,52
2019-11-14,"1,388",0,0,0,"1,426",14,0,0,46
2019-11-15,"1,355",0,0,0,"1,440",0,0,0,0
2019-11-16,"1,666","6,049",2.59,10,"1,353",36,29,22,387
2019-11-17,"1,664","6,260",2.68,10,"1,357",40,25,18,382
2019-11-18,"1,355",0,0,0,"1,440",0,0,0,0
2019-11-19,"1,926","9,066",4.02,10,"1,249",152,14,25,717
2019-11-20,"1,910","10,468",4.53,18,"1,440",0,0,0,0
2019-11-21,"2,272","13,275",5.72,5,"1,440",0,0,0,0
2019-11-22,"1,920","7,506",3.29,8,"1,440",0,0,0,0
2019-11-23,"1,857","8,453",3.62,11,"1,440",0,0,0,0
2019-11-24,"1,355",0,0,0,"1,440",0,0,0,0
2019-11-25,"1,355",0,0,0,"1,440",0,0,0,0
2019-11-26,"2,074","9,183",3.96,10,"1,440",0,0,0,0
2019-11-27,"1,355",0,0,0,"1,440",0,0,0,0
2019-11-28,"1,356",6,0,0,"1,440",0,0,0,0
2019-11-29,"1,355",0,0,0,"1,440",0,0,0,0
2019-11-30,"1,350",0,0,0,"1,440",0,0,0,0
