Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2019-09-01,"1,355",0,0,0,"1,440",0,0,0,0
2019-09-02,"1,355",0,0,0,"1,440",0,0,0,0
2019-09-03,"1,930","9,195",3.94,15,"1,254",127,29,30,720
2019-09-04,"1,817","8,108",3.48,6,"1,299",84,31,26,577
2019-09-05,"1,709","5,324",2.28,6,"1,226",95,20,14,453
2019-09-06,"2,280","13,805",5.92,12,"1,113",250,53,24,"1,165"
2019-09-07,"1,488","1,949",0.84,7,"1,308",35,7,5,168
2019-09-08,"1,467","1,443",0.62,0,"1,397",43,0,0,138
2019-09-09,"2,049","12,172",5.47,18,"1,232",132,44,32,863
2019-09-10,"2,021","11,042",4.73,13,"1,211",188,32,9,844
2019-09-11,"1,724","7,094",3.29,6,"1,342",54,24,20,451
2019-09-12,"2,004","8,791",3.77,9,"1,174",220,28,18,847
2019-09-13,"2,292","14,666",6.68,18,"1,152",208,40,40,"1,162"
2019-09-14,"1,706","3,383",1.45,3,922,162,0,0,464
2019-09-15,"1,566","2,399",1.03,2,"1,349",91,0,0,277
2019-09-16,"2,171","13,707",6.23,18,"1,195",177,38,30,995
2019-09-17,"2,010","7,859",3.37,9,733,237,15,8,838
2019-09-18,"2,247","15,116",6.85,12,"1,168",168,50,54,"1,105"
2019-09-19,"1,933","7,856",3.37,3,827,203,10,13,737
2019-09-20,"1,939","10,638",4.56,9,804,115,38,31,727
2019-09-21,"1,355",0,0,0,"1,440",0,0,0,0
2019-09-22,"1,803","7,515",3.22,4,"1,316",73,43,8,531
2019-09-23,"1,943","10,008",4.29,16,"1,254",143,31,12,721
2019-09-24,"2,129","12,045",5.16,15,"1,160",235,28,17,997
2019-09-25,"2,221","14,470",6.43,22,"1,196",155,28,61,"1,048"
2019-09-26,"1,856","7,311",3.13,10,"1,257",149,20,14,637
2019-09-27,"2,027","12,088",5.18,10,"1,232",146,43,19,829
2019-09-28,"1,859","6,545",2.81,11,"1,230",198,10,2,668
2019-09-29,"1,624","3,969",1.7,3,"1,350",90,0,0,326
2019-09-30,"2,235","14,575",6.85,21,"1,193",151,30,66,"1,069"
